activity,time,lat,long,activity_id
Driving, 1570683480.825, 432918972934480.56, -84154063687312.36, -500
Driving, 1570683504.0, 432918902009953.0, -84154143792173.16, -500
Driving, 1570683517.008, 432918394398366.6, -84149394418050.98, -500
Driving, 1570683523.5310001, 432914496804146.8, -84147907084313.52, -500
Driving, 1570683527.0010002, 432914425834906.6, -84151190212323.75, -500
Driving, 1570683538.015, 432907306021169.5, -84149676350039.55, -500
Driving, 1570683541.13, 432907255897107.56, -84152907514697.84, -500
Driving, 1570683556.008, 432908258497107.5, -84152907514697.84, -500
Driving, 1570683561.1120002, 432914222132239.7, -84153121236494.22, -500
Driving, 1570683566.02, 432913232648116.06, -84152591794235.1, -500
Driving, 1570683576.0110002, 432907001396847.25, -84150625268321.1, -500
Driving, 1570683582.159, 432907493946817.56, -84150439669475.45, -500
Driving, 1570683602.595, 432910075946817.56, -84150439669475.45, -499
Driving, 1570683608.014, 432909572901108.7, -84151784202046.48, -499
Driving, 1570683622.2229998, 432900249164448.94, -84152459030021.42, -499
Driving, 1570683627.012, 432902868164448.9, -84152459030021.42, -499
Driving, 1570683643.289, 432918449044988.9, -84159966461460.8, -499
Driving, 1570683647.014, 432924762843485.7, -84158147722133.75, -499
Driving, 1570683663.312, 432949308443485.7, -84158147722133.75, -499
Driving, 1570683666.012, 432954627024627.9, -84158146325953.39, -499
Driving, 1570683677.008, 432960659055979.56, -84153635159350.52, -499
Driving, 1570683683.314, 432949514455929.5, -84151427494721.11, -499
Driving, 1570683687.019, 432950571129149.56, -84151116381976.67, -499
Driving, 1570683704.7029998, 432916128184915.44, -84153547026294.89, -499
Driving, 1570683707.002, 432909065094021.44, -84156358076309.81, -499
Driving, 1570683717.012, 432910904861552.3, -84143491661585.11, -499
Driving, 1570683724.4020002, 432909575534581.06, -84138757242290.44, -499
Driving, 1570683737.014, 432917484526876.94, -84147652807857.66, -499
Driving, 1570683744.424, 432924600076082.94, -84161695941574.45, -499
Driving, 1570683764.505, 432924071280424.5, -84173857456193.02, -499
Driving, 1570683776.014, 432928317001423.1, -84169946049957.69, -499
Driving, 1570683786.004, 432930757401423.1, -84169946049957.69, -499
Driving, 1570683807.012, 432930679340577.3, -84169840579603.02, -499
Driving, 1570683817.0029998, 432934818764332.4, -84166721309863.56, -499
Driving, 1570683824.551, 432942536364332.4, -84166721309863.56, -499
Driving, 1570683837.005, 432940212239786.44, -84157883641112.28, -499
Driving, 1570683844.552, 432941153334183.7, -84150451411721.31, -499
Driving, 1570683856.0010002, 432938371070485.3, -84147962907449.02, -499
Driving, 1570683924.658, 432935663462625.75, -84145866470165.84, -499
Driving, 1570683945.684, 432936752462625.75, -84145866470165.84, -499
Driving, 1570683957.014, 432936225715059.5, -84141053408415.92, -499
Driving, 1570683965.725, 432937614936169.06, -84139298206858.16, -499
Driving, 1570683985.707, 432938907936169.0, -84139298206858.16, -499
Driving, 1570684006.7529998, 432939634710617.5, -84138965644966.16, -499
Driving, 1570684066.7770002, 432940402911193.25, -84136011251448.34, -499
Driving, 1570684077.35, 432940933333863.94, -84134743801532.55, -499
Driving, 1570684087.4, 432941291830126.4, -84129631821731.55, -499
Driving, 1570684108.691, 432942014830126.4, -84129631821731.55, -499
Driving, 1570684118.7529998, 432941658248078.2, -84128827530979.08, -499
Driving, 1570684128.784, 432941669440974.44, -84131854454927.44, -499
Driving, 1570684143.84, 432942153440974.44, -84131854454927.44, -499
Driving, 1570684163.901, 432940984495593.44, -84131498008652.2, -499
Driving, 1570684178.8979998, 432940188581793.4, -84132380385075.16, -499
Driving, 1570684206.008, 432945713681793.3, -84132380385075.16, -499
Driving, 1570684218.0010002, 432947347124501.56, -84128888260958.23, -499
Driving, 1570684224.5979998, 432948320348059.44, -84124049263806.9, -499
Driving, 1570684228.005, 432954090148059.5, -84124049263806.9, -499
Driving, 1570684238.006, 432947239578279.75, -84129668045149.83, -499
Driving, 1570684244.6479998, 432947079153980.75, -84139202341392.12, -499
Driving, 1570684248.0170002, 432951524253980.8, -84139202341392.12, -499
Driving, 1570684258.0089998, 432960595753980.75, -84139202341392.12, -499
Driving, 1570684265.617, 432971010153980.75, -84139202341392.12, -499
Driving, 1570684268.002, 432971744453980.75, -84139202341392.12, -499
Driving, 1570684278.0129998, 432976562553980.8, -84139202341392.12, -499
Driving, 1570684285.315, 432980387753980.75, -84139202341392.12, -499
Driving, 1570684288.005, 432982279353980.75, -84139202341392.12, -499
Driving, 1570684298.0070002, 432986364353980.75, -84139202341392.12, -499
Driving, 1570684308.008, 432996973153980.7, -84139202341392.12, -499
Driving, 1570684318.01, 433014781453980.7, -84139202341392.12, -499
Driving, 1570684325.38, 433042501153980.7, -84139202341392.12, -499
Driving, 1570684328.002, 433058349353980.7, -84139202341392.12, -499
Driving, 1570684338.0129998, 433070078253980.7, -84139202341392.12, -499
Driving, 1570684345.5410001, 433084599953980.7, -84139202341392.12, -499
Driving, 1570684348.005, 433111194453980.7, -84139202341392.12, -499
Driving, 1570684365.7020001, 433122153514484.3, -84135679686233.83, -499
Driving, 1570684368.008, 433123071814484.3, -84135679686233.83, -499
Driving, 1570684378.01, 433133460247241.6, -84140075115133.77, -499
